,Unnamed: 0,Step,Runoff_All(mm/day)_Delineated_Average,DON_Pool(gN/m2)_Delineated_Average,DOC_Pool(gC/m2)_Delineated_Average,NH4_Pool(gN/m2)_Delineated_Average,NO3_Pool(gN/m2)_Delineated_Average,Sfcwater_Temp_C,CO2,DOC_mg/L,CO2_calc,pH_calc_200,Criteria,Condition
1309,1309,1309,0.0332627072930336,1.7235074043273926,62.77766036987305,0.21712848544120789,0.05292356014251709,20.1125,1.12246456741333,4.48985826965332,4.412293519946501,0.0,Meets,Prefire
1310,1310,1310,0.04917873814702034,1.7238492965698242,62.83330535888672,0.21845102310180664,0.053354352712631226,19.7375,1.1234594998168945,4.493837999267578,4.416204497561722,0.0,Meets,Prefire
1311,1311,1311,0.05975864082574845,1.7242001295089722,62.88996887207031,0.21699915826320648,0.053638506680727005,19.962502,1.124472643432617,4.497890573730468,4.420187061591097,0.0,Meets,Prefire
1312,1312,1312,0.04319664835929871,1.7245495319366455,62.946327209472656,0.2158693820238113,0.05380380153656007,19.8125,1.125480330505371,4.501921322021484,4.424148176507617,0.0,Meets,Prefire
1313,1313,1313,0.03394381701946258,1.7248942852020264,62.99987030029297,0.2155628353357315,0.053925853222608566,19.287498,1.1264376809692382,4.505750723876953,4.427911423358048,0.0,Meets,Prefire
1314,1314,1314,0.03441217169165611,1.7252355813980105,63.04225158691406,0.2166361510753632,0.0540495440363884,16.3625,1.1271954583740234,4.508781833496093,4.430890168905803,0.0,Meets,Prefire
1315,1315,1315,0.03981148079037666,1.7255659103393557,63.08609008789063,0.2176259011030197,0.054175220429897315,16.8875,1.1279792907714845,4.511917163085938,4.433971333967442,0.0,Meets,Prefire
1316,1316,1316,0.05412846803665161,1.7258968353271484,63.12778854370117,0.2196557968854904,0.05436732992529869,16.3625,1.128724859161377,4.514899436645508,4.436902087125183,0.0,Meets,Prefire
1317,1317,1317,0.06282105296850203,1.7262178659439087,63.17611694335938,0.2195597141981125,0.05451536551117897,18.162498,1.1295889709472657,4.518355883789063,4.440298822259703,0.0,Meets,Prefire
1318,1318,1318,0.05073285475373268,1.7265405654907229,63.22355270385742,0.21952034533023834,0.05462140589952469,17.9375,1.1304371223449707,4.521748489379883,4.443632818739121,0.0,Meets,Prefire
1319,1319,1319,0.05616173893213272,1.72685706615448,63.26937484741211,0.2212283909320832,0.05481493100523949,17.5625,1.1312564222717285,4.525025689086914,4.446853403034318,0.0,Meets,Prefire
1320,1320,1320,0.09176129847764967,1.7271826267242432,63.31289291381836,0.22298017144203186,0.05504600331187248,17.037498,1.1320345252990722,4.528138101196289,4.449912046527459,0.0,Meets,Prefire
1321,1321,1321,0.12855441868305206,1.727490782737732,63.35821533203125,0.22357811033725736,0.05525891482830048,17.4875,1.1328448901367187,4.531379560546875,4.453097507900355,0.0,Meets,Prefire
1322,1322,1322,0.10951224714517592,1.7278070449829102,63.40838623046875,0.2226324826478958,0.05543380603194237,18.6875,1.1337419458007814,4.534967783203125,4.456623742053737,0.0,Meets,Prefire
1323,1323,1323,0.07279383391141891,1.7281335592269895,63.4622802734375,0.2217879146337509,0.05558765307068825,19.4375,1.1347055712890626,4.53882228515625,4.460411655383952,0.0,Meets,Prefire
1324,1324,1324,0.05054406076669693,1.7284687757492063,63.52091598510742,0.22082172334194186,0.055739544332027435,20.5625,1.1357539778137207,4.543015911254883,4.464532834305153,0.0,Meets,Prefire
1325,1325,1325,0.03763093799352647,1.728811264038086,63.57888412475586,0.2199738621711731,0.05588601902127266,20.412498,1.1367904481506348,4.547161792602539,4.4686070932919835,0.0,Meets,Prefire
1326,1326,1326,0.029063239693641663,1.729150891304016,63.63703536987305,0.21888549625873568,0.05600209906697273,20.4875,1.13783019241333,4.55132076965332,4.4726942217465275,0.0,Meets,Prefire
1327,1327,1327,0.022292710840702057,1.729499101638794,63.69878387451172,0.2176529616117477,0.05610008910298348,21.3125,1.1389342556762696,4.555737022705078,4.477034181618851,0.0,Meets,Prefire
1328,1328,1328,0.018414996564388275,1.7298574447631836,63.75940704345703,0.2167271971702576,0.05621260777115822,21.087502,1.1400181979370116,4.560072791748047,4.481295047887521,0.0,Meets,Prefire
1329,1329,1329,0.05766625702381134,1.7302123308181765,63.81435012817383,0.22017863392829887,0.05685542896389961,19.587502,1.141000580291748,4.564002321166992,4.485156692543175,0.0,Meets,Prefire
1330,1330,1330,0.234202578663826,1.730573058128357,63.86956024169922,0.2195657640695572,0.05736883357167244,19.8125,1.141987737121582,4.567950948486328,4.489037105172578,0.0,Meets,Prefire
1331,1331,1331,0.2008751928806305,1.7309377193450928,63.92431259155274,0.21756280958652496,0.05773340538144112,19.287498,1.142966709136963,4.571866836547852,4.492885344132698,0.0,Meets,Prefire
1332,1332,1332,0.1202726513147354,1.731310248374939,63.98102951049805,0.2163713425397873,0.05800610035657883,19.7375,1.1439808076477052,4.575923230590821,4.496871661756822,0.0,Meets,Prefire
1333,1333,1333,0.0797562226653099,1.731685757637024,64.04073333740234,0.2154688984155655,0.05822527781128884,20.337502,1.145048312072754,4.580193248291016,4.501067912573016,0.0,Meets,Prefire
1334,1334,1334,0.061031930148601525,1.7320680618286133,64.10297393798828,0.21506978571414948,0.0584610179066658,20.9375,1.1461611740112305,4.584644696044922,4.505442459139818,0.0,Meets,Prefire
1335,1335,1335,0.048056621104478836,1.7324581146240234,64.16661071777344,0.21404972672462466,0.05864962935447692,21.162498,1.147298999633789,4.589195998535156,4.509915135397932,0.0,Meets,Prefire
1336,1336,1336,0.035683151334524155,1.7328442335128784,64.23065948486328,0.2131327837705612,0.05880444869399073,21.3125,1.1484441915893555,4.593776766357422,4.5144167679584015,0.0,Meets,Prefire
1337,1337,1337,0.028131842613220208,1.7332406044006348,64.29252624511719,0.2124179154634476,0.0589318610727787,20.8625,1.1495503692626954,4.5982014770507815,4.5187650393619565,0.0,Meets,Prefire
